"","Position","C.T","G.A"
"1",1,0.239046356588361,0.249510590531019
"2",2,0.122302610595432,0.121063623244078
"3",3,0.1231144861605,0.118841039110752
"4",4,0.122985029497692,0.118962931373726
"5",5,0.123912070347838,0.118036134617148
"6",6,0.125729918055438,0.116207263333716
"7",7,0.127757038683208,0.114149563854153
"8",8,0.128178756158304,0.113719037771736
"9",9,0.126547778145658,0.115379400517534
"10",10,0.123832278858862,0.118116057722259
"11",11,0.123233473959632,0.118714912692451
"12",12,0.125868166902011,0.116067544465427
"13",-12,0.13047103673182,0.111363971809014
"14",-11,0.131536449920189,0.110260729885037
"15",-10,0.132776707480113,0.10896944821449
"16",-9,0.133078176424254,0.108654434196751
"17",-8,0.131565243122053,0.110230837584235
"18",-7,0.128765979669868,0.113118134803732
"19",-6,0.127090790214912,0.114828005553469
"20",-5,0.127263450882647,0.114652387327985
"21",-4,0.128139883888969,0.113758796874308
"22",-3,0.128319472112728,0.113582608821065
"23",-2,0.127995019123671,0.115346625462548
"24",-1,0.251791797809597,0.236837676622386
