"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"1",0.0229964817684048,0.00154160097953029,0.869009296722697,0.997315616889928,0.609839926320926,-3248.11001122644
"2",0.0229964817684048,0.00154160097953029,0.868664328203297,0.997315616889928,0.609839926320926,-3248.11150344074
"3",0.0229964817684048,0.00154160097953029,0.843227843566628,0.997315616889928,0.609317391999166,-3248.0457357044
"4",0.0229964817684048,0.00154160097953029,0.829768807925418,0.997315616889928,0.604504891452778,-3247.14620078095
"5",0.0229964817684048,0.00154160097953029,0.861008208108768,0.992896416062349,0.600366584051216,-3247.49563738612
"6",0.0229964817684048,0.00154160097953029,0.840305635527453,0.992896416062349,0.602347261805115,-3247.06922247372
"7",0.0229964817684048,0.00154160097953029,0.823532303979598,0.994271687783271,0.600848517213624,-3245.88063793978
"8",0.0230326637821713,0.00154160097953029,0.811241078070255,0.994271687783271,0.603365430351277,-3245.73411195555
"9",0.0230326637821713,0.00127390516087597,0.840496871554374,0.994271687783271,0.599816000802299,-3248.61868924481
"10",0.0230326637821713,0.00127390516087597,0.805440271513608,0.994271687783271,0.599816000802299,-3248.59677308249
"11",0.0232417337701868,0.00127390516087597,0.834103946538989,0.994271687783271,0.598484922073297,-3247.99614111449
"12",0.0232417337701868,0.00127390516087597,0.807202557207789,0.994271687783271,0.598484922073297,-3247.95563044594
"13",0.0233499310912641,0.00127390516087597,0.807202557207789,0.994271687783271,0.593395725160224,-3248.08677607532
"14",0.0233499310912641,0.00127390516087597,0.83298908601886,0.994271687783271,0.594368708354351,-3248.12997097289
"15",0.0233499310912641,0.00127390516087597,0.805812343165638,0.993610412211029,0.592324817356999,-3248.4244193912
"16",0.0233499310912641,0.00127390516087597,0.794939718781068,0.993610412211029,0.589097955824859,-3248.97261626392
"17",0.0233217657839466,0.00127390516087597,0.789157744575178,0.993610412211029,0.589097955824859,-3249.06684831415
"18",0.0233217657839466,0.00127390516087597,0.71150017825307,0.993610412211029,0.589097955824859,-3248.86706674701
"19",0.0233217657839466,0.00127390516087597,0.71150017825307,0.993610412211029,0.589097955824859,-3248.86706674701
"20",0.0233438974111224,0.00127390516087597,0.726854014957159,0.993610412211029,0.591851558941589,-3248.21745957735
"21",0.0233438974111224,0.00179489856989244,0.721777913352164,0.994016547684362,0.590244466160592,-3249.65822827885
"22",0.0233438974111224,0.00179489856989244,0.721777913352164,0.994016547684362,0.590244466160592,-3249.65822827885
"23",0.0233438974111224,0.00171034435786941,0.687935478738024,0.994016547684362,0.592843334253147,-3248.06967501382
"24",0.0233438974111224,0.00171034435786941,0.609929489499969,0.995828256972861,0.592843334253147,-3248.19201281802
"25",0.0234143012596197,0.00171034435786941,0.593363096088861,0.995828256972861,0.589168369018491,-3249.33760083984
"26",0.0234143012596197,0.00145817658698976,0.647534357459361,0.995828256972861,0.590533554705862,-3248.11042912115
"27",0.0234143012596197,0.00145817658698976,0.668340542847552,0.995828256972861,0.590533554705862,-3248.02293874819
"28",0.0234143012596197,0.00145817658698976,0.697273106968395,0.995828256972861,0.591738237452127,-3247.82933756927
"29",0.0234143012596197,0.0012812064212958,0.682120374911245,0.995828256972861,0.591738237452127,-3249.06486561533
"30",0.0234143012596197,0.0012812064212958,0.684606302783707,0.995828256972861,0.591074698699732,-3249.08841259987
"31",0.0234143012596197,0.0012812064212958,0.69185825671295,0.995828256972861,0.595468562504625,-3249.26649634579
"32",0.0234143012596197,0.0012812064212958,0.728083065579803,0.995828256972861,0.596282326182586,-3249.25195640315
"33",0.0234143012596197,0.0012812064212958,0.757251542914623,0.995828256972861,0.596282326182586,-3249.12926033434
"34",0.0233017108667871,0.0012812064212958,0.780466842032488,0.994819335901204,0.593200390535268,-3247.97773544501
"35",0.0233017108667871,0.0012812064212958,0.86042109580065,0.994819335901204,0.593398977576786,-3247.92952786728
"36",0.0233017108667871,0.0012812064212958,0.877873025276187,0.994819335901204,0.598671425676199,-3248.16846146292
"37",0.0233017108667871,0.00170505924993764,0.877873025276187,0.994819335901204,0.592670711606749,-3247.95627407131
"38",0.0233017108667871,0.00172615190467582,0.877873025276187,0.994819335901204,0.592670711606749,-3248.17723070152
"39",0.0233017108667871,0.00172615190467582,0.894726730378511,0.994819335901204,0.589527368712847,-3248.98336709913
"40",0.0233017108667871,0.00135117700878851,0.936649344588759,0.994819335901204,0.592539314938814,-3247.56805582558
"41",0.0233017108667871,0.00135117700878851,0.977325710653179,0.994819335901204,0.591155950775524,-3247.96675149059
"42",0.0232715808994271,0.00135117700878851,0.977325710653179,0.994819335901204,0.598146655503604,-3247.51470321396
