"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.022782927955338,0.00179014205794757,0.215356109627089,0.982192313581916,0.609369098014423,-3246.98481493694
"Std.",9.96812622404509e-05,0.000143244272224196,0.0801732865499498,0.00781168638541995,0.00381939821960216,1.22201126248577
"Acceptance ratio",0.25,0.15,0.78,0.41,0.7,0.99
"0%",0.022559484065868,0.00149416290366864,0.128969457241832,0.9604487926431,0.601990557126745,-3250.99745752961
"2.5%",0.0225816933285952,0.00152989908558616,0.130739264122779,0.965824091254833,0.604001898496387,-3250.5348468193
"5%",0.0226062404084516,0.00158783355711269,0.13367026087684,0.966689885812294,0.604068460511023,-3249.25492417815
"7.5%",0.0226514784735871,0.00158906501684417,0.136617061243106,0.967001786420951,0.604268482476722,-3248.71748942687
"10%",0.0226572627993451,0.00158906501684417,0.139184940525617,0.971379312050202,0.604561173192998,-3248.6572467708
"12.5%",0.0226615103071746,0.00158906501684417,0.140727802827931,0.974606461614684,0.604574515524392,-3248.09779052794
"15%",0.0226863641484635,0.00158906501684417,0.148383170045171,0.975624540447987,0.605282429177486,-3247.96311255822
"17.5%",0.0226872218024537,0.00163426209088798,0.15230350707287,0.977644964391103,0.605774105237952,-3247.86814672187
"20%",0.0226954569821317,0.00163426209088798,0.157046712871456,0.977644964391103,0.60608319534012,-3247.70563490321
"22.5%",0.0227095603945177,0.00163426209088798,0.158536738235172,0.977644964391103,0.606541417159282,-3247.51985529378
"25%",0.0227095603945177,0.00163426209088798,0.160253313759239,0.977791335417354,0.606920987583854,-3247.47118285072
"27.5%",0.0227123899897797,0.00176644505863249,0.165342878902487,0.977926622792736,0.606981903431791,-3247.42252457835
"30%",0.0227341034762935,0.00176644505863249,0.169088940437579,0.978454746028513,0.607204135983732,-3247.38892743125
"32.5%",0.0227341034762935,0.00176779450528778,0.170578526024282,0.979554383526734,0.607405481257464,-3247.35876300239
"35%",0.0227556952806797,0.00176779450528778,0.172230240707775,0.979928964049957,0.607541344454164,-3247.28597372531
"37.5%",0.0227613363635126,0.00178663658305181,0.173730615806782,0.980753093146105,0.607735414768168,-3247.15880890447
"40%",0.0227613363635126,0.00178663658305181,0.174441772159212,0.981121943732865,0.607944346719133,-3247.03465191021
"42.5%",0.022763325836665,0.00178663658305181,0.175625763359717,0.981743040118432,0.608023212838581,-3246.98544070941
"45%",0.0227878626722106,0.00178663658305181,0.185523447729981,0.983874952260736,0.608217526273825,-3246.80796529745
"47.5%",0.0227878626722106,0.00179563672634331,0.189491385951686,0.98389721722211,0.608367048395512,-3246.77550447857
"50%",0.0227878626722106,0.00179563672634331,0.197947087675185,0.984298971503757,0.608468581300461,-3246.70654199148
"52.5%",0.0228054499488782,0.00179563672634331,0.201369345172529,0.984338973233025,0.608631758448839,-3246.67072024126
"55%",0.0228054499488782,0.00179563672634331,0.203455321722004,0.984338973233025,0.609199483267228,-3246.63727559388
"57.5%",0.0228054499488782,0.00180062484570151,0.209645098449084,0.984338973233025,0.609527169826162,-3246.56548648691
"60%",0.0228207375153187,0.00182207538530818,0.212506677876831,0.985317173334434,0.609675501877522,-3246.46893080859
"62.5%",0.0228207375153187,0.00182207538530818,0.215927316060437,0.985317173334434,0.610448990310753,-3246.35166845117
"65%",0.0228207375153187,0.00182207538530818,0.218810578233652,0.985382642788993,0.61073480924102,-3246.25170721835
"67.5%",0.0228207375153187,0.00182207538530818,0.221917528440392,0.985524612125996,0.611001665904505,-3246.23329290925
"70%",0.0228249339309452,0.00182207538530818,0.228635262773156,0.985554726833845,0.611409656887614,-3246.16927455238
"72.5%",0.022834725567407,0.00187696697452119,0.237475508334897,0.985554726833845,0.611460716901126,-3246.1191874231
"75%",0.022834725567407,0.00187696697452119,0.241224369574866,0.985554726833845,0.611994149280577,-3246.05841811482
"77.5%",0.0228610259941548,0.00187696697452119,0.243239289113768,0.985554726833845,0.612263174089886,-3246.03023494722
"80%",0.0228610259941548,0.00191514606006688,0.259242665897714,0.986264244285654,0.612702512256119,-3246.0088524809
"82.5%",0.0228610259941548,0.00194186875653183,0.269477248491724,0.986264244285654,0.613129002105646,-3245.93827145451
"85%",0.0228624421570066,0.0020085101718893,0.287977817889244,0.987810740537813,0.613266548681341,-3245.87511703099
"87.5%",0.0228630590479247,0.0020085101718893,0.301372944233496,0.992696618489975,0.614081211674595,-3245.81964292715
"90%",0.022888563836902,0.0020085101718893,0.305891712115668,0.993296123889186,0.614209125088795,-3245.73648575037
"92.5%",0.0229268731059308,0.0020085101718893,0.350668430318059,0.993625626411481,0.615078269364749,-3245.6481358554
"95%",0.0229679227155693,0.0020085101718893,0.37003497995669,0.994575840311302,0.615511265071557,-3245.57888220046
"97.5%",0.0230071036402281,0.0020085101718893,0.421284952041476,0.996047109690296,0.617827665113985,-3245.55085565658
"100%",0.0230262499120615,0.0020085101718893,0.537945552762735,0.997146750201188,0.620204190296739,-3245.48213171668
