pos	5pG>A
1	0.00712570676167609
2	0.00580470737913486
3	0.00495555730354755
4	0.00560703995015964
5	0.00613593455003147
6	0.00620873939012889
7	0.00655993752440453
8	0.00599424552429668
9	0.00569230769230769
10	0.0055098556573025
11	0.00749802683504341
12	0.00561975621339243
13	0.00616657559909453
14	0.00675516455895059
15	0.00661272755562471
16	0.00668396634426358
17	0.00574025352786415
18	0.00560616678346181
19	0.00511826289259403
20	0.00604395604395604
21	0.00698313063946646
22	0.00685518423307626
23	0.00509644033244472
24	0.0064495831366997
25	0.00483808037456106
