pos	5pC>T
1	0.00446772454167309
2	0.00500613960517616
3	0.00513554470449571
4	0.00524623455745473
5	0.00525613215417988
6	0.00513489281930068
7	0.00578977411726331
8	0.00564789414232693
9	0.00509716470213444
10	0.00570785432912614
11	0.0059080608611201
12	0.00603126735973335
13	0.0053484602917342
14	0.00533204071740184
15	0.00586722391898409
16	0.00761441879303362
17	0.00458162527128044
18	0.00535914253719405
19	0.00494772963051632
20	0.00679076456019813
21	0.00468625893566322
22	0.00520792235461217
23	0.005349697112737
24	0.00459952418715305
25	0.00563380281690141
