"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"1",0.020360652343366,0.00189488465032317,0.732008237053742,0.996121872001324,0.559444870582803,-1728.25973326934
"2",0.020360652343366,0.00189488465032317,0.702131983484486,0.996121872001324,0.556910782014741,-1727.58788940984
"3",0.020360652343366,0.00189488465032317,0.702131983484486,0.998073781004947,0.554098457734794,-1728.17323010961
"4",0.0205883773914587,0.0019304326778375,0.681968517397295,0.998073781004947,0.5545837428811,-1730.35473332472
"5",0.0205883773914587,0.0019304326778375,0.691272331780513,0.993167944573665,0.548891428663142,-1727.85074045825
"6",0.0205883773914587,0.0019304326778375,0.697484369895676,0.999540752517239,0.552588310293833,-1731.07925424711
"7",0.0205883773914587,0.0019304326778375,0.762568315278912,0.99477782539421,0.55144651260179,-1728.20147566321
"8",0.0205883773914587,0.0019304326778375,0.766765669299572,0.99477782539421,0.547466005153219,-1727.30533701609
"9",0.0205883773914587,0.0019304326778375,0.753153869342717,0.99477782539421,0.547466005153219,-1727.29163743324
"10",0.0205883773914587,0.0019304326778375,0.78572748541482,0.99477782539421,0.550144286101031,-1727.88919243752
"11",0.0202340607995906,0.0019304326778375,0.704386477861571,0.995883211283636,0.547036674898279,-1726.40437026719
"12",0.0202340607995906,0.0019304326778375,0.649683399461858,0.995883211283636,0.546373149787327,-1726.58361463013
"13",0.0203045170641242,0.0019304326778375,0.683939349728412,0.995883211283636,0.549679411941389,-1726.26752767032
"14",0.0203045170641242,0.0019304326778375,0.654643834067146,0.995883211283636,0.544498160112317,-1726.50611700869
"15",0.0203045170641242,0.0019304326778375,0.728933747345878,0.995883211283636,0.544498160112317,-1726.36614755228
"16",0.0203045170641242,0.0019304326778375,0.734327890204836,0.995883211283636,0.546338300347717,-1726.21453817533
"17",0.0203045170641242,0.0019304326778375,0.714273372032978,0.995883211283636,0.547850247686413,-1726.19532866049
"18",0.0203045170641242,0.0019304326778375,0.686157612331233,0.995883211283636,0.554143545179753,-1726.66564771542
"19",0.0203045170641242,0.0019304326778375,0.640619279447498,0.995883211283636,0.554143545179753,-1726.7622508337
"20",0.0203045170641242,0.00200857546596849,0.589911269097461,0.995883211283636,0.54971467104391,-1726.53266465821
"21",0.0203045170641242,0.00200857546596849,0.634733431975516,0.995883211283636,0.54971467104391,-1726.43257738717
"22",0.0203045170641242,0.0017607270947049,0.62868906226569,0.995883211283636,0.555760187206529,-1727.48878354938
"23",0.0203045170641242,0.00195126811839779,0.617355230650687,0.997144377610335,0.558297306430582,-1728.25654896248
"24",0.0203045170641242,0.00195126811839779,0.632501119369337,0.997144377610335,0.554090552562169,-1727.3776311681
"25",0.0205359700819575,0.00195126811839779,0.619709473884265,0.997144377610335,0.557108271817359,-1730.18210890603
"26",0.0205359700819575,0.00183195545343018,0.630719673370731,0.997144377610335,0.554851592590397,-1729.27457015962
"27",0.0205359700819575,0.00163760592475709,0.662560735886643,0.997144377610335,0.548393720328348,-1728.26162811987
"28",0.0205359700819575,0.00163760592475709,0.594544702534306,0.997144377610335,0.548393720328348,-1728.49591584626
"29",0.0205359700819575,0.00163760592475709,0.565651489650061,0.990838100432482,0.545098044155475,-1726.83936077598
"30",0.0205359700819575,0.00163760592475709,0.53527693260591,0.990838100432482,0.546938147965391,-1726.91582904867
"31",0.0205359700819575,0.00163760592475709,0.568577085251559,0.990838100432482,0.549006394998353,-1727.34720183897
"32",0.0205359700819575,0.00163760592475709,0.596150218530419,0.990838100432482,0.543873092475205,-1726.90729324836
"33",0.0202941000172351,0.00163760592475709,0.607365130121518,0.994465183553166,0.543759865518138,-1727.41657212589
"34",0.0204935999065727,0.00163760592475709,0.643685001985622,0.994465183553166,0.542259487284512,-1726.60410796262
"35",0.0203750423381131,0.00205724747217813,0.646790298082757,0.994465183553166,0.547561945257108,-1726.48650381682
"36",0.0203750423381131,0.00205724747217813,0.645230144286283,0.994465183553166,0.544871662340281,-1726.50579563502
"37",0.0203750423381131,0.00205724747217813,0.595255408291075,0.994465183553166,0.54392386793181,-1726.56463857987
"38",0.0203750423381131,0.00205724747217813,0.619022344637256,0.994465183553166,0.543065609373614,-1726.62457562446
"39",0.0203750423381131,0.00205724747217813,0.619022344637256,0.994465183553166,0.5481072856672,-1726.50425528112
"40",0.0203750423381131,0.00205724747217813,0.644442176669033,0.994465183553166,0.552497747476412,-1726.93767174355
"41",0.0203750423381131,0.00205724747217813,0.593092330266259,0.994465183553166,0.54840752345586,-1726.52670696832
"42",0.0203750423381131,0.00205724747217813,0.559642993886034,0.994465183553166,0.548053744589484,-1726.5362236732
"43",0.0203750423381131,0.00205724747217813,0.538205920892211,0.994465183553166,0.54676698354895,-1726.53047496976
"44",0.0203750423381131,0.00205724747217813,0.528559060043855,0.994465183553166,0.54676698354895,-1726.54386386313
"45",0.0203750423381131,0.00205724747217813,0.504337009606336,0.994465183553166,0.545721681707638,-1726.59043445066
"46",0.0203750423381131,0.00205724747217813,0.464494449564054,0.994465183553166,0.549479021335497,-1726.78242487818
"47",0.0203750423381131,0.00205724747217813,0.440021369981597,0.994465183553166,0.555481662443258,-1727.7719074467
"48",0.0203750423381131,0.00205724747217813,0.426853743875541,0.994465183553166,0.553049457105644,-1727.32404153463
"49",0.0203750423381131,0.00205724747217813,0.426853743875541,0.994465183553166,0.553049457105644,-1727.32404153463
"50",0.0203750423381131,0.00205724747217813,0.365706123774982,0.994465183553166,0.554763116393495,-1727.86250205214
"51",0.0203750423381131,0.00205724747217813,0.365706123774982,0.994465183553166,0.551022026443553,-1727.24591598235
"52",0.0203750423381131,0.00205724747217813,0.356870783214309,0.995227583424996,0.548314014232027,-1727.27601335523
"53",0.0203750423381131,0.00165559191923418,0.386035080032946,0.99391996551456,0.548404161779782,-1727.49295456986
"54",0.0202373924995862,0.00165559191923418,0.44750151790456,0.992038681659322,0.545572183535886,-1727.39481423635
