"","Theta","DeltaD","DeltaS","Lambda","Rho","LogLik"
"Mean",0.0203648410040379,0.0019018977903738,0.576246034687827,0.994766337478764,0.548555074720919,-1727.61490798896
"Std.",0.000160338020496726,0.000162945098269241,0.105167751102528,0.00293118082809729,0.00450837870806992,1.22947763764207
"Acceptance ratio",0.19,0.13,0.9,0.24,0.87,0.99
"0%",0.0198850134795638,0.00163760592475709,0.356870783214309,0.981473319627422,0.538534574191761,-1731.07925424711
"2.5%",0.0198850134795638,0.00163760592475709,0.375362377997515,0.986870864868542,0.539511013101328,-1730.44135655005
"5%",0.0201253918410811,0.00163760592475709,0.389701657797967,0.988469271804637,0.541882190316238,-1730.18708452312
"7.5%",0.0201253918410811,0.00164524997240985,0.407049871702552,0.990121729024793,0.542383402065879,-1729.98763117615
"10%",0.0201253918410811,0.00165559191923418,0.426270892588149,0.990838100432482,0.542715631008422,-1729.81817632589
"12.5%",0.0201253918410811,0.00165559191923418,0.441016445016276,0.992038681659322,0.543717978447882,-1729.17819403432
"15%",0.0202340607995906,0.00165559191923418,0.450849343946437,0.993110537875131,0.543916251613319,-1729.03682290017
"17.5%",0.0202974855574741,0.00165559191923418,0.463144658708394,0.993832610605617,0.544497825099453,-1728.86137700368
"20%",0.0203045170641242,0.00181328489279504,0.475422164131093,0.993832610605618,0.544498441404172,-1728.6435052505
"22.5%",0.0203045170641242,0.00182642434231758,0.494768555070183,0.993832610605617,0.544933917339459,-1728.26110703598
"25%",0.0203045170641242,0.00182642434231758,0.500631299600505,0.994328879043515,0.545606245756614,-1728.21524398803
"27.5%",0.0203045170641242,0.00182642434231758,0.504835339753426,0.994465183553166,0.545722191240685,-1727.92644362563
"30%",0.0203190884110714,0.00182642434231758,0.511296990199165,0.994465183553166,0.546362694955444,-1727.87050916775
"32.5%",0.0203315141111792,0.00186808487557965,0.529734687742214,0.994465183553166,0.546796937321828,-1727.78755598012
"35%",0.020360652343366,0.00186808487557965,0.538421372865434,0.994465183553166,0.547029956102026,-1727.62405474043
"37.5%",0.0203686498249903,0.00186808487557965,0.555835758074251,0.994465183553166,0.547338482765915,-1727.4924331923
"40%",0.0203686498249903,0.00186808487557965,0.559699445199136,0.994465183553166,0.547523569215552,-1727.43611232425
"42.5%",0.0203686498249903,0.00186808487557965,0.569158053700096,0.994465183553166,0.547723152422614,-1727.3767533419
"45%",0.0203686498249903,0.00186808487557965,0.576323331232051,0.99477782539421,0.547807184967771,-1727.33446367158
"47.5%",0.0203750423381131,0.00189488465032317,0.580011950968646,0.994783263146209,0.548055083116427,-1727.30499452651
"50%",0.0203750423381131,0.0019304326778375,0.59150179968186,0.994995335474191,0.548232967900546,-1727.27879144741
"52.5%",0.0203750423381131,0.0019304326778375,0.595237640647156,0.99586682058717,0.548393450758661,-1727.24596697741
"55%",0.0203750423381131,0.0019304326778375,0.604275191727858,0.995883211283636,0.548405674534017,-1727.18955920247
"57.5%",0.0203750423381131,0.0019304326778375,0.615401086289899,0.995883211283636,0.548997772523212,-1727.08046523117
"60%",0.0203750423381131,0.0019304326778375,0.619022344637256,0.995883211283636,0.54940213026188,-1726.93931042121
"62.5%",0.0203750423381131,0.0019304326778375,0.622001052549834,0.995883211283636,0.549684853931442,-1726.91646420213
"65%",0.0203750423381131,0.0019377250820336,0.63075664899348,0.996121872001324,0.549787987176715,-1726.85101013155
"67.5%",0.0204560029817591,0.00195126811839779,0.634342777269435,0.996194242506575,0.550062953235569,-1726.78776491461
"70%",0.0204560029817591,0.00201827576986183,0.643912154390645,0.996333204779484,0.550760975260008,-1726.72491607225
"72.5%",0.020465485197911,0.00204090981227964,0.646439263478551,0.997144377610335,0.551010385504649,-1726.66987500127
"75%",0.0204686475104166,0.00204090981227964,0.651807066008204,0.997144377610335,0.551479975886724,-1726.619458709
"77.5%",0.0205101126132076,0.00204090981227964,0.658047438464501,0.997179863204523,0.552134528027491,-1726.58549008078
"80%",0.020519280126802,0.00205724747217813,0.664385391620761,0.997193323257491,0.552515860039896,-1726.54233582514
"82.5%",0.020519280126802,0.00205724747217813,0.681200207236143,0.997193323257491,0.552927610324832,-1726.5311866185
"85%",0.0205359700819575,0.00205724747217813,0.686757617577673,0.997193323257491,0.553645904679966,-1726.51637100265
"87.5%",0.0205359700819575,0.00205724747217813,0.692755775378206,0.997193323257491,0.554126637387893,-1726.50844161722
"90%",0.0205359700819575,0.00205724747217813,0.702131983484486,0.997193323257491,0.554601680232339,-1726.50373419389
"92.5%",0.0205661042849207,0.00205724747217813,0.71007144201013,0.997335101842157,0.555196061229509,-1726.48937355525
"95%",0.0205883773914587,0.00205724747217813,0.732124219711297,0.997439894709083,0.55581771694694,-1726.40245913144
"97.5%",0.0205883773914587,0.00231015421876513,0.75809645345922,0.997772685014412,0.557690390300183,-1726.25642798479
"100%",0.0206584556840475,0.00231015421876513,0.78572748541482,0.999540752517239,0.559444870582803,-1726.19532866049
