# table produced by mapDamage version 2.0.6
# using mapped file ../se/medium.bam and ../../ref/scaffoldsN.fa as reference file
# Std: strand of reads
Std	Length	Occurences 
+	30	8
+	31	6
+	32	10
+	33	5
+	34	5
+	35	6
+	36	7
+	37	6
+	38	23
+	39	4
+	40	5
+	41	13
+	42	10
+	43	14
+	44	11
+	45	15
+	46	8
+	47	12
+	48	10
+	49	20
+	50	10
+	51	16
+	52	20
+	53	25
+	54	12
+	55	19
+	56	20
+	57	12
+	58	21
+	59	19
+	60	21
+	61	24
+	62	16
+	63	30
+	64	21
+	65	21
+	66	36
+	67	51
+	68	38
+	69	38
+	70	27
+	71	52
+	72	84
+	73	48
+	74	80
+	75	86
+	76	8946
+	77	93
+	78	35
+	79	34
+	80	37
+	81	38
+	82	30
+	83	21
+	84	22
+	85	41
+	86	42
+	87	37
+	88	51
+	89	43
+	90	52
+	91	52
+	92	53
+	93	59
+	94	76
+	95	58
+	96	102
+	97	106
+	98	109
+	99	175
+	100	9237
+	101	8835
+	102	162
+	103	61
+	104	38
+	105	13
+	106	8
+	107	7
+	108	5
+	109	9
+	110	1
+	111	3
+	112	3
+	113	2
+	114	2
+	115	1
+	116	1
+	119	1
+	141	1
-	30	4
-	31	7
-	32	6
-	33	4
-	34	7
-	35	4
-	36	6
-	37	7
-	38	21
-	39	9
-	40	6
-	41	15
-	42	11
-	43	13
-	44	12
-	45	8
-	46	16
-	47	17
-	48	6
-	49	5
-	50	12
-	51	22
-	52	15
-	53	22
-	54	13
-	55	10
-	56	14
-	57	15
-	58	20
-	59	23
-	60	19
-	61	21
-	62	32
-	63	19
-	64	24
-	65	21
-	66	22
-	67	37
-	68	41
-	69	37
-	70	28
-	71	74
-	72	71
-	73	64
-	74	63
-	75	106
-	76	8984
-	77	91
-	78	48
-	79	33
-	80	45
-	81	33
-	82	33
-	83	30
-	84	34
-	85	47
-	86	31
-	87	37
-	88	36
-	89	41
-	90	41
-	91	56
-	92	52
-	93	60
-	94	76
-	95	74
-	96	120
-	97	109
-	98	102
-	99	160
-	100	9209
-	101	8797
-	102	152
-	103	65
-	104	30
-	105	17
-	106	12
-	107	10
-	108	3
-	109	8
-	110	1
-	111	2
-	112	2
-	114	1
-	115	1
-	122	1
-	130	2
