#Coverage (X)	Coverage
1.0	66.58185
2.0	45.565749999999994
3.0	36.27889999999999
4.0	32.99574999999999
5.0	31.815549999999988
6.0	31.231099999999984
7.0	30.600749999999977
8.0	29.733449999999976
9.0	28.624299999999977
10.0	27.236499999999978
11.0	25.55764999999998
12.0	23.670549999999977
13.0	21.613499999999974
14.0	19.337199999999967
15.0	17.036199999999965
16.0	14.70084999999996
17.0	12.425899999999956
18.0	10.295749999999956
19.0	8.367199999999954
20.0	6.656799999999947
21.0	5.141449999999949
22.0	3.9190999999999434
23.0	2.9107499999999504
24.0	2.1010999999999456
25.0	1.4798999999999438
26.0	1.0179999999999438
27.0	0.6807499999999465
28.0	0.46274999999994293
29.0	0.3020499999999373
30.0	0.18584999999993101
31.0	0.11509999999992715
32.0	0.07229999999992742
33.0	0.046249999999929514
34.0	0.027649999999923125
35.0	0.018049999999917077
36.0	0.011699999999919442
37.0	0.006699999999923989
38.0	0.0033499999999264674
39.0	0.0019499999999226247
40.0	5.499999999187821E-4
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
