#Read position (bp)	Clipping profile
0.0	3.694982792972288
1.0	2.4801708487255847
2.0	2.370652434889197
3.0	2.2375454396111256
4.0	2.084219660240182
5.0	1.9081477487647585
6.0	1.816741995678235
7.0	1.7265999165975159
8.0	1.6394064101970067
9.0	1.5458945337674757
10.0	1.4523826573379444
11.0	1.396359776413946
12.0	1.3222242347400832
13.0	1.2624103317986715
14.0	1.1886960147934105
15.0	1.126775988508991
16.0	1.0863384203232478
17.0	1.0370551340968732
18.0	0.9911416452193107
19.0	0.9519677510393719
20.0	0.9094240595106212
21.0	0.8736199626794944
22.0	0.8428705618715855
23.0	0.8104362623892705
24.0	0.7737897162209408
25.0	0.7388280687270169
26.0	0.7139758132795289
27.0	0.6950207031924618
28.0	0.6701684477449737
29.0	0.6499496636521022
30.0	0.7325096986979945
31.0	0.6246761835360126
32.0	0.7476737867676483
33.0	0.6621651790415454
34.0	0.630152104227832
35.0	0.574550447972435
36.0	0.6625864037101469
37.0	0.5703382012864202
38.0	0.6832264124716201
39.0	0.5324279811122858
40.0	0.5985602540827201
41.0	0.5644410559259992
42.0	0.5863447386932769
43.0	0.5509618665307515
44.0	0.575392897309638
45.0	0.5593863599027814
46.0	0.6339431262452454
47.0	0.5652835052632023
48.0	0.5922418840536977
49.0	0.6175153641697873
50.0	0.5665471792690068
51.0	0.6154092408267798
52.0	0.601930051431532
53.0	0.6343643509138469
54.0	0.6748019190995902
55.0	0.6916509058436499
56.0	0.6891235578320409
57.0	0.6823839631344171
58.0	0.7139758132795289
59.0	0.761995425500099
60.0	0.7784231875755572
61.0	0.8091725883834661
62.0	0.8357097425053601
63.0	0.866459143313269
64.0	0.8976297687897794
65.0	0.9245881475802749
66.0	0.9608134690800032
67.0	1.0113604293121823
68.0	1.051376772829324
69.0	1.0998176097184957
70.0	1.1356217065496224
71.0	1.1975417328340419
72.0	1.2754682965253177
73.0	1.3319124021179176
74.0	1.3942536530709384
75.0	1.4127875384894042
76.0	0.5096818490078053
77.0	0.5299006331006769
78.0	0.5425373731587216
79.0	0.5669684039376082
80.0	0.5867659633618784
81.0	0.6170941395011857
82.0	0.6402614962742679
83.0	0.6684835490705677
84.0	0.7038664212330931
85.0	0.7417766414072274
86.0	0.7826354342615721
87.0	0.8256003504589243
88.0	0.8736199626794944
89.0	0.9207971255628614
90.0	0.9705016364578375
91.0	1.0277881913876403
92.0	1.078756376288421
93.0	1.1343580325438178
94.0	1.1996478561770492
95.0	1.263674005804476
96.0	1.3618193535886236
97.0	1.4519614326693429
98.0	1.5269394236804084
99.0	1.572010463220768
100.0	1.0252608433760313
