#Mapping quality	mapping quality
0.0	23600.0
1.0	103.0
2.0	77.0
3.0	204.0
4.0	49.0
5.0	236.0
6.0	341.0
7.0	349.0
8.0	112.0
9.0	757.0
10.0	171.0
11.0	163.0
12.0	166.0
13.0	458.0
14.0	13.0
15.0	377.0
16.0	203.0
17.0	259.0
18.0	194.0
19.0	49.0
20.0	598.0
21.0	513.0
22.0	101.0
23.0	444.0
24.0	387.0
25.0	339.0
26.0	226.0
27.0	1668.0
28.0	212.0
29.0	47.0
30.0	819.0
31.0	666.0
32.0	185.0
33.0	548.0
34.0	95.0
35.0	196.0
36.0	704.0
37.0	305.0
38.0	454.0
39.0	855.0
40.0	5932.0
41.0	763.0
42.0	1033.0
43.0	1085.0
44.0	984.0
45.0	1290.0
46.0	1499.0
47.0	1359.0
48.0	1756.0
49.0	2273.0
50.0	3288.0
51.0	2285.0
52.0	2349.0
53.0	3372.0
54.0	3574.0
55.0	4457.0
56.0	6503.0
57.0	8490.0
58.0	14966.0
59.0	31152.0
60.0	1195984.0
