#Coverage (X)	Coverage
1.0	54.50315
2.0	36.25015
3.0	31.465249999999997
4.0	29.23474999999999
5.0	26.61909999999999
6.0	23.27624999999999
7.0	19.405799999999985
8.0	15.477299999999985
9.0	11.719699999999989
10.0	8.412049999999994
11.0	5.776999999999987
12.0	3.818349999999981
13.0	2.387049999999988
14.0	1.3929999999999865
15.0	0.7812999999999874
16.0	0.4115499999999912
17.0	0.21744999999998527
18.0	0.1185999999999865
19.0	0.06304999999998984
20.0	0.032399999999995543
21.0	0.015149999999991337
22.0	0.006999999999990791
23.0	0.002299999999991087
24.0	9.99999999990564E-4
25.0	5.999999999914962E-4
26.0	2.999999999957481E-4
27.0	0.0
28.0	0.0
29.0	0.0
30.0	0.0
31.0	0.0
32.0	0.0
33.0	0.0
34.0	0.0
35.0	0.0
36.0	0.0
37.0	0.0
38.0	0.0
39.0	0.0
40.0	0.0
41.0	0.0
42.0	0.0
43.0	0.0
44.0	0.0
45.0	0.0
46.0	0.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
51.0	0.0
