#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	0.0
9.0	0.0
10.0	0.0
11.0	0.0
12.0	0.0
13.0	0.0
14.0	1.7777777777777779E-4
15.0	0.0
16.0	0.0
17.0	0.0
18.0	0.0
19.0	1.7777777777777779E-4
20.0	5.333333333333334E-4
21.0	7.111111111111111E-4
22.0	0.0021333333333333334
23.0	0.001955555555555556
24.0	0.0032
25.0	0.00711111111111111
26.0	0.006222222222222223
27.0	0.01208888888888889
28.0	0.015822222222222224
29.0	0.016355555555555557
30.0	0.01813333333333333
31.0	0.02506666666666667
32.0	0.02204444444444445
33.0	0.02702222222222222
34.0	0.030755555555555553
35.0	0.030577777777777777
36.0	0.03573333333333333
37.0	0.035733333333333325
38.0	0.033777777777777775
39.0	0.03662222222222222
40.0	0.041600000000000005
41.0	0.03608888888888889
42.0	0.03751111111111111
43.0	0.038400000000000004
44.0	0.034666666666666665
45.0	0.032888888888888884
46.0	0.036977777777777776
47.0	0.03217777777777778
48.0	0.033244444444444445
49.0	0.03075555555555556
50.0	0.029866666666666666
51.0	0.03591111111111111
52.0	0.025066666666666668
53.0	0.02862222222222222
54.0	0.024711111111111107
55.0	0.020088888888888885
56.0	0.02008888888888889
57.0	0.019555555555555555
58.0	0.015466666666666667
59.0	0.013511111111111111
60.0	0.011911111111111112
61.0	0.008355555555555555
62.0	0.008177777777777779
63.0	0.004977777777777778
64.0	0.004088888888888889
65.0	0.0032000000000000006
66.0	0.0021333333333333334
67.0	0.0026666666666666666
68.0	0.0012444444444444445
69.0	7.111111111111111E-4
70.0	0.0010666666666666667
71.0	5.333333333333334E-4
72.0	3.5555555555555557E-4
73.0	3.5555555555555557E-4
74.0	3.5555555555555557E-4
75.0	0.0
76.0	0.0
77.0	3.5555555555555557E-4
78.0	0.0
79.0	0.0
80.0	1.7777777777777779E-4
81.0	0.0
82.0	0.0
83.0	0.0
84.0	0.0
85.0	0.0
86.0	0.0
87.0	0.0
88.0	0.0
89.0	0.0
90.0	0.0
91.0	0.0
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	1.7777777777777779E-4
