#Mapping quality	mapping quality
0.0	21434.0
1.0	380.0
2.0	593.0
3.0	469.0
4.0	313.0
5.0	413.0
6.0	494.0
7.0	802.0
8.0	1079.0
9.0	1259.0
10.0	1103.0
11.0	722.0
12.0	489.0
13.0	495.0
14.0	559.0
15.0	483.0
16.0	222.0
17.0	708.0
18.0	589.0
19.0	523.0
20.0	871.0
21.0	736.0
22.0	823.0
23.0	1009.0
24.0	855.0
25.0	934.0
26.0	1333.0
27.0	732.0
28.0	742.0
29.0	1481.0
30.0	1577.0
31.0	1004.0
32.0	1370.0
33.0	1243.0
34.0	1429.0
35.0	1075.0
36.0	1126.0
37.0	1032.0
38.0	1810.0
39.0	1218.0
40.0	1082.0
41.0	1386.0
42.0	1177.0
43.0	2053.0
44.0	1869.0
45.0	1558.0
46.0	2357.0
47.0	2163.0
48.0	2554.0
49.0	3098.0
50.0	2829.0
51.0	4565.0
52.0	4715.0
53.0	5020.0
54.0	6068.0
55.0	7322.0
56.0	9652.0
57.0	12193.0
58.0	15530.0
59.0	19932.0
60.0	927411.0
