#Coverage	Number of genomic locations
0.0	668363.0
1.0	420322.0
2.0	185737.0
3.0	65663.0
4.0	23604.0
5.0	11689.0
6.0	12607.0
7.0	17346.0
8.0	22183.0
9.0	27756.0
10.0	33577.0
11.0	37742.0
12.0	41141.0
13.0	45526.0
14.0	46020.0
15.0	46707.0
16.0	45499.0
17.0	42603.0
18.0	38571.0
19.0	34208.0
20.0	30307.0
21.0	24447.0
22.0	20167.0
23.0	16193.0
24.0	12424.0
25.0	9238.0
26.0	6745.0
27.0	4360.0
28.0	3214.0
29.0	2324.0
30.0	1415.0
31.0	856.0
32.0	521.0
33.0	372.0
34.0	192.0
35.0	127.0
36.0	100.0
37.0	67.0
38.0	28.0
39.0	28.0
40.0	11.0
