"","Position","C.T","G.A"
"1",1,0.235163701306757,0.281954205657596
"2",2,0.164428862810436,0.169125888407848
"3",3,0.172682776826919,0.159397413154423
"4",4,0.174627587441008,0.157389532100387
"5",5,0.174186856344209,0.157842953900223
"6",6,0.173632882913275,0.158411691588491
"7",7,0.173454092830177,0.15859491918705
"8",8,0.171061004551647,0.161032103041546
"9",9,0.169031797396597,0.163076639975828
"10",10,0.169352493897716,0.16275485438102
"11",11,0.172248972679108,0.159825792213842
"12",12,0.177780974210078,0.154115286481823
"13",-12,0.171329077885237,0.160760498375636
"14",-11,0.169620391382303,0.162485664643821
"15",-10,0.170832779581679,0.161263056193463
"16",-9,0.17226817858164,0.159806232487092
"17",-8,0.171775541844338,0.160307367727873
"18",-7,0.170342482553497,0.161758350905463
"19",-6,0.168241969099696,0.163867030150535
"20",-5,0.165640468660072,0.166449244484695
"21",-4,0.165435174846627,0.166651802481355
"22",-3,0.165746612012873,0.166358148700543
"23",-2,0.1681349560523,0.165472028560936
"24",-1,0.267370787001728,0.251460545041787
