#Position (bp)	Coverage
2500.5	0.3378
7500.5	0.4434
12500.5	0.4116
17500.5	0.3118
22500.5	0.3874
27500.5	0.3168
32500.5	0.35
37500.5	0.619
42500.5	0.4738
47500.5	0.3856
52500.5	0.3632
57500.5	0.3346
62500.5	0.5222
67500.5	0.375
72500.5	0.3848
77500.5	0.4444
82500.5	0.532
87500.5	0.3724
92500.5	0.3336
97500.5	0.4116
102500.5	0.3054
107500.5	0.5746
112500.5	0.397
117500.5	0.5242
122500.5	0.354
127500.5	0.3238
132500.5	0.4956
137500.5	0.1364
142500.5	0.2682
147500.5	0.4508
152500.5	0.4314
157500.5	0.3504
162500.5	0.5424
167500.5	0.1562
172500.5	0.2152
177500.5	0.4744
182500.5	0.4872
187500.5	0.2558
192500.5	0.3564
197500.5	0.3522
202500.5	0.3888
207500.5	0.4936
212500.5	0.4188
217500.5	0.5484
222500.5	0.4486
227500.5	0.5808
232500.5	0.4294
237500.5	0.5402
242500.5	0.4254
247500.5	0.4438
252500.5	0.3264
257500.5	0.515
262500.5	0.548
267500.5	0.5818
272500.5	0.258
277500.5	0.3276
282500.5	0.505
287500.5	0.3944
292500.5	0.4154
297500.5	0.3896
302500.5	0.4276
307500.5	0.4824
312500.5	0.4302
317500.5	0.2742
322500.5	0.58
327500.5	0.5082
332500.5	0.5544
337500.5	0.3732
342500.5	0.44
347500.5	0.3786
352500.5	0.3684
357500.5	0.4142
362500.5	0.4454
367500.5	0.2784
372500.5	0.4824
377500.5	0.5806
382500.5	0.3682
387500.5	0.4552
392500.5	0.4186
397500.5	0.5024
402500.5	0.4418
407500.5	0.4088
412500.5	0.369
417500.5	0.3534
422500.5	0.2564
427500.5	0.4898
432500.5	0.7884
437500.5	0.4652
442500.5	0.5032
447500.5	0.3384
452500.5	0.3898
457500.5	0.3354
462500.5	0.4092
467500.5	0.4462
472500.5	0.4492
477500.5	0.4754
482500.5	0.4876
487500.5	0.3826
492500.5	0.4646
497500.5	0.439
502500.5	0.484
507500.5	0.4816
512500.5	0.5566
517500.5	0.6492
522500.5	0.46
527500.5	0.5534
532500.5	0.5446
537500.5	0.4736
542500.5	0.4624
547500.5	0.6658
552500.5	0.4154
557500.5	0.4356
562500.5	0.2916
567500.5	0.415
572500.5	0.59
577500.5	0.3384
582500.5	0.5778
587500.5	0.3962
592500.5	0.487
597500.5	0.3998
602500.5	0.4884
607500.5	0.4484
612500.5	0.5206
617500.5	0.2676
622500.5	0.592
627500.5	0.5714
632500.5	0.5648
637500.5	0.238
642500.5	0.075
647500.5	0.0704
652500.5	0.0456
657500.5	0.1352
662500.5	0.0726
667500.5	0.0824
672500.5	0.1512
677500.5	0.1658
682500.5	0.1432
687500.5	0.0992
692500.5	0.2136
697500.5	0.2266
702500.5	0.4424
707500.5	0.1154
712500.5	0.1638
717500.5	0.1892
722500.5	0.453
727500.5	0.3398
732500.5	0.291
737500.5	0.195
742500.5	0.262
747500.5	0.2312
752500.5	5.8674
757500.5	6.7224
762500.5	7.8592
767500.5	8.4084
772500.5	7.691
777500.5	6.4378
782500.5	6.4322
787500.5	5.6054
792500.5	5.6518
797500.5	5.7152
802500.5	5.0846
807500.5	6.2024
812500.5	5.5626
817500.5	6.4768
822500.5	5.594
827500.5	4.1674
832500.5	8.0574
837500.5	7.5134
842500.5	6.6806
847500.5	8.249
852500.5	8.1708
857500.5	7.6552
862500.5	8.0474
867500.5	8.5018
872500.5	7.2396
877500.5	7.6372
882500.5	7.8682
887500.5	8.4994
892500.5	8.298
897500.5	8.2046
902500.5	8.4844
907500.5	8.9446
912500.5	9.0704
917500.5	8.9372
922500.5	8.9
927500.5	8.31
932500.5	7.5892
937500.5	8.8948
942500.5	8.7788
947500.5	8.2072
952500.5	8.4902
957500.5	8.322
962500.5	6.8262
967500.5	8.5346
972500.5	8.3082
977500.5	8.137
982500.5	8.8138
987500.5	7.799
992500.5	8.3794
997500.5	8.5732
1002500.5	8.1006
1007500.5	8.2466
1012500.5	7.585
1017500.5	8.7808
1022500.5	7.552
1027500.5	8.2444
1032500.5	8.6306
1037500.5	7.7756
1042500.5	7.7636
1047500.5	8.8302
1052500.5	7.8452
1057500.5	8.0464
1062500.5	8.6544
1067500.5	8.1906
1072500.5	8.5186
1077500.5	8.7414
1082500.5	8.5112
1087500.5	8.988
1092500.5	7.8872
1097500.5	8.1878
1102500.5	8.2474
1107500.5	8.2032
1112500.5	8.7384
1117500.5	7.1058
1122500.5	7.0358
1127500.5	8.915
1132500.5	8.44
1137500.5	8.1192
1142500.5	7.2058
1147500.5	8.368
1152500.5	8.6008
1157500.5	7.2452
1162500.5	7.9214
1167500.5	8.2908
1172500.5	9.698
1177500.5	8.5404
1182500.5	8.4168
1187500.5	8.8138
1192500.5	6.6194
1197500.5	8.7044
1202500.5	8.0348
1207500.5	7.2788
1212500.5	6.8334
1217500.5	8.764
1222500.5	8.2862
1227500.5	7.9934
