#Position (bp)	Coverage
2500.5	0.6866
7500.5	0.8562
12500.5	0.7662
17500.5	0.5594
22500.5	0.792
27500.5	0.6424
32500.5	0.6722
37500.5	1.1896
42500.5	1.0158
47500.5	0.7672
52500.5	0.7092
57500.5	0.6798
62500.5	0.9988
67500.5	0.7938
72500.5	0.7666
77500.5	0.8604
82500.5	0.9334
87500.5	0.7558
92500.5	0.6282
97500.5	0.8886
102500.5	0.632
107500.5	1.0676
112500.5	0.8286
117500.5	1.027
122500.5	0.6526
127500.5	0.6662
132500.5	0.8524
137500.5	0.2068
142500.5	0.7208
147500.5	1.2658
152500.5	0.9232
157500.5	0.6604
162500.5	0.8314
167500.5	0.3064
172500.5	0.4204
177500.5	0.623
182500.5	0.607
187500.5	0.5762
192500.5	0.8556
197500.5	0.8366
202500.5	0.7408
207500.5	0.9704
212500.5	0.7792
217500.5	1.053
222500.5	0.9148
227500.5	1.1492
232500.5	0.8526
237500.5	1.0188
242500.5	0.8334
247500.5	0.8588
252500.5	0.702
257500.5	1.0022
262500.5	1.0824
267500.5	1.1198
272500.5	0.468
277500.5	0.6496
282500.5	0.9904
287500.5	0.7424
292500.5	0.8248
297500.5	0.81
302500.5	0.794
307500.5	0.9476
312500.5	0.8598
317500.5	0.5484
322500.5	1.1302
327500.5	0.977
332500.5	1.0342
337500.5	0.7516
342500.5	0.8396
347500.5	0.7348
352500.5	0.735
357500.5	0.7994
362500.5	0.8572
367500.5	0.5422
372500.5	0.9878
377500.5	0.9474
382500.5	0.717
387500.5	0.8512
392500.5	0.8204
397500.5	0.9684
402500.5	0.8516
407500.5	0.8124
412500.5	0.7618
417500.5	0.6948
422500.5	0.5432
427500.5	0.9872
432500.5	1.58
437500.5	0.9436
442500.5	0.9666
447500.5	0.6876
452500.5	0.792
457500.5	0.6312
462500.5	0.8226
467500.5	0.9338
472500.5	0.8716
477500.5	0.8868
482500.5	1.0024
487500.5	0.7842
492500.5	0.987
497500.5	0.837
502500.5	0.997
507500.5	0.8906
512500.5	1.128
517500.5	1.2584
522500.5	0.8538
527500.5	1.0948
532500.5	1.0176
537500.5	0.9628
542500.5	0.9282
547500.5	1.4232
552500.5	0.8276
557500.5	0.8712
562500.5	0.5972
567500.5	0.8326
572500.5	1.1514
577500.5	0.712
582500.5	1.1162
587500.5	0.8222
592500.5	0.9804
597500.5	0.865
602500.5	0.9216
607500.5	1.0524
612500.5	0.9938
617500.5	0.5386
622500.5	1.208
627500.5	1.131
632500.5	1.2518
637500.5	0.5928
642500.5	0.1014
647500.5	0.1408
652500.5	0.0912
657500.5	0.2966
662500.5	0.1448
667500.5	0.1882
672500.5	0.361
677500.5	0.2154
682500.5	0.2406
687500.5	0.225
692500.5	0.3392
697500.5	0.4942
702500.5	0.7598
707500.5	0.3132
712500.5	0.34
717500.5	0.2418
722500.5	0.8278
727500.5	0.6714
732500.5	0.4898
737500.5	0.5484
742500.5	0.5306
747500.5	0.4242
752500.5	11.9398
757500.5	13.557
762500.5	15.9172
767500.5	16.8392
772500.5	15.48
777500.5	12.5646
782500.5	12.837
787500.5	11.3688
792500.5	11.3588
797500.5	11.388
802500.5	10.0928
807500.5	12.6596
812500.5	11.7238
817500.5	13.1892
822500.5	11.3982
827500.5	8.446
832500.5	16.3048
837500.5	15.1554
842500.5	13.414
847500.5	16.568
852500.5	16.4004
857500.5	14.9034
862500.5	16.2244
867500.5	17.0426
872500.5	14.442
877500.5	15.3564
882500.5	15.6648
887500.5	15.0976
892500.5	16.9926
897500.5	16.0962
902500.5	16.807
907500.5	17.542
912500.5	17.9302
917500.5	17.4518
922500.5	17.6812
927500.5	16.8992
932500.5	14.9408
937500.5	17.9734
942500.5	17.458
947500.5	16.3506
952500.5	15.5448
957500.5	16.0372
962500.5	13.1174
967500.5	17.2178
972500.5	16.5862
977500.5	16.2866
982500.5	17.6174
987500.5	15.6008
992500.5	16.791
997500.5	17.1652
1002500.5	16.0888
1007500.5	16.3058
1012500.5	12.7242
1017500.5	17.4182
1022500.5	14.6946
1027500.5	16.5554
1032500.5	17.2238
1037500.5	15.5764
1042500.5	15.304
1047500.5	17.4026
1052500.5	15.713
1057500.5	14.0214
1062500.5	17.1804
1067500.5	16.445
1072500.5	16.977
1077500.5	17.5662
1082500.5	17.0954
1087500.5	17.7568
1092500.5	15.8602
1097500.5	16.6162
1102500.5	16.3526
1107500.5	16.4854
1112500.5	17.5472
1117500.5	14.0912
1122500.5	14.0392
1127500.5	17.8548
1132500.5	16.672
1137500.5	16.3412
1142500.5	14.3998
1147500.5	16.8882
1152500.5	17.2478
1157500.5	14.4862
1162500.5	15.74
1167500.5	16.7398
1172500.5	18.7372
1177500.5	17.063
1182500.5	16.6288
1187500.5	17.8136
1192500.5	12.912
1197500.5	17.2618
1202500.5	16.2168
1207500.5	14.563
1212500.5	13.8902
1217500.5	17.4212
1222500.5	16.6104
1227500.5	16.0144
1232500.5	14.9736
1237500.5	17.6276
1242500.5	19.145
1247500.5	16.3712
1252500.5	16.466
1257500.5	16.3878
1262500.5	18.4488
1267500.5	15.4382
1272500.5	18.4086
1277500.5	15.6776
1282500.5	17.9556
1287500.5	15.0842
1292500.5	14.061
1297500.5	15.1932
1302500.5	1.0044
1307500.5	0.6296
1312500.5	0.8554
1317500.5	0.7554
1322500.5	0.7454
1327500.5	0.7748
1332500.5	0.7666
1337500.5	0.769
1342500.5	0.7698
1347500.5	0.9112
1352500.5	0.7036
1357500.5	0.8104
1362500.5	0.6152
1367500.5	0.9376
1372500.5	0.7284
1377500.5	0.768
1382500.5	0.8022
1387500.5	1.3104
1392500.5	1.0028
1397500.5	0.5438
1402500.5	0.8044
1407500.5	0.9186
1412500.5	0.6892
1417500.5	0.6918
1422500.5	1.0264
1427500.5	1.0008
1432500.5	1.0344
1437500.5	0.9774
1442500.5	1.0334
1447500.5	0.7218
1452500.5	0.7226
1457500.5	0.672
1462500.5	0.8952
1467500.5	0.6668
1472500.5	1.0198
1477500.5	1.0386
1482500.5	0.578
1487500.5	0.5358
1492500.5	0.5972
1497500.5	1.0274
1502500.5	0.8948
1507500.5	0.9716
1512500.5	0.8658
1517500.5	0.527
1522500.5	0.653
1527500.5	0.5898
1532500.5	0.7756
1537500.5	0.9156
1542500.5	0.9574
1547500.5	1.0056
1552500.5	0.8498
1557500.5	0.86
1562500.5	0.7364
1567500.5	0.9984
1572500.5	0.8082
1577500.5	0.6108
1582500.5	0.5702
1587500.5	0.7722
1592500.5	0.8538
1597500.5	0.658
1602500.5	0.7096
1607500.5	0.8522
1612500.5	0.996
1617500.5	0.9996
1622500.5	0.5098
1627500.5	0.9206
1632500.5	0.6432
1637500.5	0.6212
1642500.5	0.7794
1647500.5	0.947
1652500.5	0.797
1657500.5	0.7082
1662500.5	0.7924
1667500.5	0.6164
1672500.5	0.6002
1677500.5	0.8042
1682500.5	0.649
1687500.5	0.7602
1692500.5	0.9098
