pos	5pG>A
1	0.00783527007078239
2	0.00547211549656537
3	0.00523498847521194
4	0.00534966661497907
5	0.00510915002322341
6	0.00748601196218406
7	0.00764508282173057
8	0.00605298325603333
9	0.00597243491577335
10	0.00619434765776229
11	0.00699355649850699
12	0.00635775021452531
13	0.00567078381107745
14	0.00720854114713217
15	0.00618931569378361
16	0.00770675221031218
17	0.006790171913023
18	0.00680561463207146
19	0.00666897960757103
20	0.00634586934516857
21	0.00758223812116028
22	0.00639237563923756
23	0.00647299668551375
24	0.0070595577050587
25	0.00579698867836439
