pos	5pC>T
1	0.00573642255829546
2	0.0055987983067049
3	0.00529380624669137
4	0.00505192253718776
5	0.00507053772234717
6	0.0057314629258517
7	0.00592426547113922
8	0.00629788599622929
9	0.00571811657070747
10	0.00601503759398496
11	0.00594305906918845
12	0.00644153816123365
13	0.00661428685961677
14	0.00593900481540931
15	0.00609270468302007
16	0.0083058458848309
17	0.00596837944664032
18	0.00573417170878317
19	0.00621631191722076
20	0.00715746421267894
21	0.00552551604373051
22	0.00604815259954251
23	0.00655297647244592
24	0.00613183444047011
25	0.00586914562571395
